state_name,total_patients,total_claims,total_cost,diabetes_pct,obesity_pct,median_income,total_pop,pct_black,pct_hispanic,pct_asian,svi_overall,svi_poverty,svi_minority,pct_uninsured,glp1_per_1000,obesity_z,diabetes_z,demand_z,glp1_z,gap_score
Virginia,89843.0,439833,565358455.6999999,14.262406015037595,37.6203007518797,68724.0,8705170.0,18.6,11.0,6.9,0.4355007518796992,0.4526578947368421,0.5889872180451128,7.458646616541353,10.32,0.4702763903023527,0.6406262721873556,0.5554513312448541,-0.7672640527089514,1.323
Oregon,40328.0,200453,244735402.08,12.925,35.30833333333333,68416.5,4254293.0,1.9,14.7,4.5,0.6334777777777778,0.5626638888888889,0.5322777777777777,6.911111111111111,9.48,-0.06488054449086506,-0.004041752955142146,-0.0344611487230036,-1.0449444220881867,1.01
South Dakota,9795.0,55539,63812843.370000005,13.524242424242425,36.803030303030305,72652.5,907428.0,2.3,4.8,1.4,0.3398621212121212,0.3191227272727273,0.4142818181818182,11.239393939393938,10.79,0.28110073635723354,0.28481026795274017,0.2829555021549869,-0.6118952746039032,0.895
Maryland,62570.0,288187,404999778.47,12.754166666666668,36.32083333333333,91887.5,6206011.0,29.4,12.5,6.6,0.4128125,0.33644583333333333,0.6606708333333333,4.983333333333333,10.08,0.16948538650431164,-0.08638831517350763,0.041548535665402,-0.8466013011030187,0.888
Nebraska,21812.0,125845,141862511.24,12.472043010752689,39.36451612903226,68892.0,1978707.0,4.8,12.7,2.6,0.2242752688172043,0.2107311827956989,0.2954494623655914,7.917204301075269,11.02,0.8740143268183653,-0.22238000211005415,0.3258171623541556,-0.535863744892922,0.862
Wyoming,5018.0,26746,30983598.35,11.665217391304349,34.06956521739131,72156.0,582397.0,0.9,10.7,0.8,0.29446086956521744,0.3153130434782609,0.4098913043478261,12.043478260869565,8.62,-0.35162132748335123,-0.6112930717955622,-0.48145719963945677,-1.329236228833595,0.848
Alaska,6718.0,33639,44047078.72,11.57,35.730000000000004,80958.5,735706.0,3.0,7.3,6.4,0.60477,0.47850000000000004,0.8325966666666668,15.68,9.13,0.032723703314535044,-0.6571905830383762,-0.3122334398619206,-1.1606445759962014,0.848
New Mexico,24451.0,117743,145968984.3,15.024242424242425,34.76969696969697,53303.0,2120246.0,2.1,48.4,1.8,0.7940939393939395,0.7164545454545455,0.9027515151515152,8.875757575757575,11.53,-0.18956006333678205,1.0078532532847333,0.40914659497397565,-0.367272092055529,0.776
Texas,368838.0,1792402,2361772104.8700004,14.61897233201581,37.42332015810277,65034.5,30188424.0,12.2,39.7,5.6,0.706484251968504,0.6796992125984251,0.7784023622047245,17.414173228346456,12.22,0.4246807949951801,0.8125014550518639,0.618591125023522,-0.13917750292258516,0.758
Washington,67866.0,329913,419653055.86,11.415384615384616,33.94358974358974,74202.0,7816116.0,4.0,14.4,9.8,0.5537435897435897,0.47967692307692306,0.5961743589743589,7.2615384615384615,8.68,-0.3807811884216848,-0.7317196292187509,-0.5562504088202178,-1.3094019167350779,0.753
Illinois,141782.0,696033,901608059.83,12.5921568627451,38.464705882352945,66531.5,12694798.0,13.6,18.8,6.0,0.34962058823529407,0.3276882352941176,0.3232862745098039,5.622549019607843,11.17,0.6657329775028129,-0.16448168336050892,0.250625647071152,-0.4862779646466298,0.737
Georgia,146818.0,752027,965444721.7199999,15.641509433962264,38.469811320754715,58239.0,10940407.0,31.1,11.0,4.5,0.7064477987421384,0.7506735849056604,0.7235220125786164,14.230188679245282,13.42,0.6669147462180419,1.3053936409212568,0.9861541935696494,0.25750873904775107,0.729
Utah,25485.0,128342,157495238.17,10.493103448275862,31.50344827586207,78445.0,3392331.0,1.2,15.9,2.4,0.31507586206896554,0.32303793103448275,0.4138379310344828,9.762068965517242,7.51,-0.9456068939465547,-1.1762855814732762,-1.0609462377099155,-1.696171002656156,0.635
Minnesota,59133.0,301614,382365691.74,11.736781609195402,36.774712643678164,74033.0,5739445.0,7.0,6.4,5.1,0.2789448275862069,0.19463218390804599,0.3424068965517241,5.231034482758621,10.3,0.2745459762607707,-0.5767970679642981,-0.1511255458517637,-0.7738754900751235,0.623
Nevada,33510.0,153939,210881590.99,13.07058823529412,34.61764705882353,76472.0,3184612.0,9.4,29.6,9.0,0.5869058823529412,0.5276411764705883,0.673670588235294,9.200000000000001,10.52,-0.22475544004748652,0.06613594856237523,-0.07930974574255564,-0.7011496790472288,0.622
Wisconsin,68855.0,367531,455904305.38000005,12.536111111111111,38.86666666666667,72921.5,5914872.0,6.1,8.0,3.0,0.2156888888888889,0.21786805555555555,0.29079305555555557,6.361111111111111,11.64,0.758775854973664,-0.19149734174491834,0.28363925661437284,-0.33090918654158114,0.615
Mississippi,48509.0,247677,308681370.43,17.24878048780488,42.50121951219512,49518.0,2946779.0,36.4,3.7,1.0,0.8067207317073171,0.8345609756097561,0.7904792682926829,12.581707317073171,16.46,1.6000749773375575,2.080144348259965,1.8401096627987612,1.262447218705937,0.578
North Dakota,9080.0,52710,60796987.68,12.256603773584906,38.62641509433962,72109.0,784841.0,3.4,4.7,1.7,0.2222188679245283,0.18127735849056603,0.3077075471698113,7.773584905660377,11.57,0.70316421702652,-0.3262278882430145,0.18846816439175273,-0.3540492173231842,0.543
Arizona,78399.0,362983,485161890.68,13.393333333333334,32.873333333333335,62876.0,7378838.0,4.6,31.4,3.6,0.8292133333333334,0.7497666666666666,0.8396066666666666,11.333333333333334,10.62,-0.6285161415014848,0.2217083346874026,-0.20340390340704112,-0.6680924922163676,0.465
Arkansas,45394.0,251742,288707556.56,15.293333333333333,40.92666666666667,51646.0,3049391.0,14.7,9.0,1.6,0.6902546666666667,0.673488,0.5601306666666667,8.330666666666666,14.89,1.2356092553194054,1.1375627827745933,1.1865860190469992,0.7434493854614134,0.443
Montana,10931.0,57273,67152690.17,11.75357142857143,33.32142857142857,65868.0,1116875.0,0.5,4.6,0.8,0.3131,0.3578732142857143,0.34555714285714284,9.514285714285714,9.79,-0.5247944055501814,-0.5687038938810794,-0.5467491497156305,-0.942467142912517,0.396
Iowa,40148.0,228191,265322440.29,12.28080808080808,39.173737373737374,71223.0,3210507.0,3.9,7.3,2.5,0.21965151515151515,0.17848484848484847,0.2526777777777778,5.304040404040404,12.51,0.829854286720798,-0.3145607185413235,0.25764678408973724,-0.043311661113087464,0.301
Kansas,37008.0,202484,236602247.09,12.604761904761904,38.45428571428571,64178.0,2947197.0,5.3,13.6,2.9,0.32744190476190477,0.3136419047619048,0.4048076190476191,9.297142857142857,12.56,0.6633209948952044,-0.1584056918871317,0.2524576515040363,-0.026783067697656548,0.279
California,361436.0,1853716,2153231634.93,12.062068965517241,29.76551724137931,83473.0,39287377.0,5.4,40.2,15.5,0.6907775862068966,0.6315137931034482,0.8029224137931034,6.887931034482759,9.2,-1.3478901778003436,-0.4199992404938352,-0.8839447091470893,-1.137504545214599,0.254
Hawaii,14939.0,65030,98991511.32,14.24,28.22,97161.0,1445235.0,1.9,9.9,36.9,0.45682,0.26154,0.96818,4.88,10.34,-1.7056349552274632,0.6298259308525717,-0.5379045121874457,-0.7606526153427792,0.223
Ohio,163784.0,842238,1052617874.57,13.793181818181818,39.00454545454546,67804.5,11810293.0,12.2,4.8,2.6,0.3523977272727273,0.3763477272727273,0.2692409090909091,6.980681818181818,13.87,0.7906910060706507,0.4144467627976171,0.6025688844341339,0.406266079786627,0.196
South Carolina,85767.0,424121,551680049.46,16.482608695652175,38.96304347826087,57158.0,5296225.0,24.8,7.4,1.8,0.7635434782608695,0.7359500000000001,0.7852086956521739,10.784782608695652,16.19,0.7810844388508219,1.7108275883431288,1.2459560135969754,1.1731928142626116,0.073
Florida,291256.0,1437074,1838960441.73,14.223880597014926,34.5134328358209,67500.0,22416077.0,15.1,27.4,2.9,0.7083059701492537,0.680376119402985,0.6858731343283582,12.491044776119402,12.99,-0.24887816932842474,0.6220559166818399,0.18658887367670757,0.11536283567504725,0.071
Colorado,46105.0,229895,294143626.71,10.6171875,27.1109375,73468.0,5862189.0,4.0,22.5,3.3,0.4368859375,0.4683890625,0.602703125,9.3734375,7.86,-1.9623524518638458,-1.1164735126794696,-1.5394129822716578,-1.580470848748141,0.041
Oklahoma,62997.0,347833,413692039.57,14.190909090909091,40.77792207792208,59738.0,4028634.0,7.0,12.7,2.4,0.6828402597402597,0.6527142857142857,0.6790051948051948,15.157142857142857,15.64,1.2011789698659527,0.6061627058780702,0.9036708378720115,0.9913782866928736,-0.088
Tennessee,113907.0,571677,716049424.76,15.085263157894737,39.98842105263158,59341.0,7066383.0,15.6,7.4,1.9,0.535601052631579,0.6470589473684211,0.3596557894736842,10.552631578947368,16.12,1.0184311744942454,1.037266995569477,1.0278490850318613,1.1500527834810084,-0.122
Missouri,91382.0,476608,591246733.34,13.636521739130435,38.76260869565217,59934.0,6191814.0,11.0,5.2,2.1,0.4717452173913044,0.5573808695652174,0.26812608695652174,11.76695652173913,14.76,0.7346892937348669,0.3389321153045119,0.5368107045196894,0.7004750425812933,-0.164
Idaho,22170.0,117177,138403743.6,11.554545454545455,33.23863636363637,67491.5,1934262.0,0.8,13.6,1.4,0.47612045454545454,0.5160477272727273,0.4738522727272727,11.856818181818182,11.46,-0.543958526891777,-0.6646401168266453,-0.6042993218592112,-0.3904121228371315,-0.214
North Carolina,162980.0,830555,1044901663.13,13.940999999999999,37.372,60229.5,10730404.0,20.3,11.3,3.3,0.6710280000000001,0.6869540000000001,0.6535850000000001,11.231,15.19,0.4128015884444887,0.4856993624430604,0.44925047544377456,0.8426209459539972,-0.393
Alabama,96090.0,511857,625431470.9399999,16.802985074626864,41.72686567164179,54563.0,5086768.0,25.8,5.6,1.5,0.6715820895522389,0.6939238805970149,0.6746074626865672,9.804477611940298,18.89,1.4208333390551164,1.8652581839989377,1.643045761527027,2.0657368586958684,-0.423
Indiana,109325.0,554418,728256599.92,13.582608695652173,39.71739130434783,68532.0,6851073.0,9.2,8.6,2.6,0.3346597826086956,0.35389891304347826,0.26007391304347827,7.953260869565218,15.96,0.9556952344607543,0.31294448336794095,0.6343198589143476,1.09716128455163,-0.463
New Jersey,99537.0,490307,663708729.89,10.961904761904762,29.723809523809525,100869.0,9343809.0,12.8,22.5,10.1,0.5098857142857143,0.46808095238095243,0.7401428571428571,6.757142857142857,10.65,-1.357544368474839,-0.9503099139174097,-1.1539271411961243,-0.6581753361671088,-0.496
Michigan,151880.0,761022,993765925.64,13.086746987951807,37.81204819277109,63724.0,10077761.0,13.3,5.9,3.4,0.3725301204819277,0.4194192771084337,0.3312975903614458,6.0771084337349395,15.07,0.5146606545003312,0.07392493040294594,0.29429279245163853,0.8029523217569637,-0.509
Delaware,15486.0,66746,99945958.57000001,13.566666666666668,36.9,81497.0,1021191.0,21.9,11.0,4.3,0.6155333333333334,0.4721666666666667,0.7494000000000001,6.366666666666667,15.16,0.30354655690895943,0.3052599685479887,0.30440326272847407,0.8327037899047389,-0.528
Louisiana,90719.0,496858,599250674.72,16.5015625,42.103125,54344.0,4611961.0,30.7,7.2,1.7,0.7725859375,0.72264375,0.7520890625,7.828125,19.67,1.5079270356341696,1.719963865195828,1.6139454504149988,2.3235829159765875,-0.71
Rhode Island,12206.0,66625,74380406.7,10.5,29.28,103514.0,1101801.0,5.5,17.7,3.5,0.31301999999999996,0.28338,0.44874,3.2600000000000002,11.08,-1.4602740793214017,-1.1729612459085315,-1.3166176626149666,-0.5160294327944049,-0.801
New Hampshire,17325.0,81694,105898707.8,10.02,31.669999999999998,88415.5,1394868.0,1.5,4.7,2.6,0.20605,0.26000999999999996,0.22207,6.33,12.42,-0.9070547459105672,-1.4043350012147695,-1.1556948735626684,-0.07306312926086266,-1.083
Maine,20794.0,104022,130392691.24000001,12.1125,33.76875,68475.0,1387817.0,1.8,2.2,1.2,0.341825,0.41250625,0.17145625,8.2875,14.98,-0.421251785242789,-0.39569003667663843,-0.4084709109597137,0.7732008536091886,-1.182
New York,279755.0,1464491,1902415452.98,11.203225806451613,32.74516129032258,72021.5,19852366.0,14.4,19.8,9.1,0.48025483870967745,0.4328903225806452,0.45031612903225804,4.698387096774193,14.09,-0.6581844478597759,-0.8339862549356831,-0.7460853513977295,0.4789918908145222,-1.225
Vermont,7843.0,40613,49643597.55,9.564285714285715,30.42142857142857,76251.0,647106.0,1.1,2.6,1.8,0.22505714285714284,0.2577642857142857,0.16897857142857142,4.385714285714285,12.12,-1.196064726425253,-1.6240023462822983,-1.4100335363537757,-0.172234689753447,-1.238
West Virginia,38626.0,193999,253216411.24,16.98181818181818,41.372727272727275,55832.0,1778373.0,3.2,2.1,0.8,0.43142545454545456,0.5338727272727273,0.15444363636363637,6.62909090909091,21.72,1.3388600298573472,1.951460866465475,1.645160448161411,3.0012552460092445,-1.356
Connecticut,51152.0,262997,353182997.76,10.055555555555555,30.400000000000002,90589.0,3624508.0,10.6,18.3,4.8,0.4721777777777778,0.4026111111111111,0.6726888888888889,4.966666666666667,14.11,-1.20102485194896,-1.3871962045254185,-1.2941105282371892,0.48560332818069435,-1.78
Massachusetts,97365.0,522096,641591142.66,10.035714285714286,27.857142857142858,95785.0,7044056.0,6.8,13.3,7.3,0.4088785714285715,0.33572857142857143,0.5866285714285714,3.0142857142857147,13.82,-1.789626414095575,-1.3967602651779576,-1.5931933396367663,0.38973748637119665,-1.983
District of Columbia,7645.0,33868,44902293.01,7.8,24.7,109870.0,681294.0,42.1,11.9,4.4,0.6262,0.4394,0.9386,3.4,11.22,-2.5204182412551366,-2.4744386195061194,-2.4974284303806282,-0.46974937123119886,-2.028
